,reviews,result
646," With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  ",1
647,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",1
648,"Otherwise, don't even waste your time on this.  ",0
649,This one just fails to create any real suspense.  ,0
650,"As for the killer, don't expect anything original or even remotely frightening.  ",0
651,"There is, however, some pretty good acting (at least, for this type of film).  ",1
652,I'm so sorry but I really can't recommend it to anyone.  ,0
653,"One of the most boring,pointless movies I have ever seen.  ",0
654,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0
655,Hated it.  ,0
656,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,0
657,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",0
658,I highly doubt that anyone could ever like this trash.  ,0
659,This is not movie-making.  ,0
660,"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  ",0
661,"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  ",0
662,I saw this short film on HBO the other day and absolutely loved it.  ,1
663,I didn't realize how wonderful the short really is until the last two scenes.  ,1
664,Excellent short film.  ,1
665,"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  ",1
666,"I agree with Jessica, this movie is pretty bad.  ",0
667,"Characters are one-dimensional, even the good guys and especially the bad guys.  ",0
668,The story line is totally predictable.  ,0
669,"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  ",1
670,I've seen soap operas more intelligent than this movie.  ,0
671,"Bad characters, bad story and bad acting.  ",0
672,Really awful.  ,0
673,Not easy to watch.  ,0
674,"Funny, clever, hip - just like Pray's previous film, Hype!  ",1
675,It was a long time that i didn't see a so charismatic actor on screen.  ,1
676,Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  ,1
677,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  ,1
678,I rate this movie 9/10.  ,1
679,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",1
680,The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  ,1
681,"Kathy Bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""At Play In The Fields Of The Lord"".  ",1
682,For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,1
683,"It never condescends, all the characters have good genuine hearts and believable problems.  ",1
684,The two main characters may be two of the most believable children I ever saw put on screen.  ,1
685,"They are so easy to love, but even more easy to identify with.  ",1
686,This movie is great--especially if you enjoy visual arts.  ,1
687,The scenery that the two daughters paint and photograph are beautiful.  ,1
688,The story is also both funny and poignant at times.  ,1
689,"People who like European films and ""art movies"" will like this movie.  ",1
690,This is truly an art movie--it actually has a lot of art in it.  ,1
691,Go rent it.  ,1
692,"However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  ",1
693,"It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.  ",1
694,Brilliance indeed.  ,1
695,"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",1
696,Think of the film being like a dream.  ,1
697,Simply beautiful.  ,1
698,Both Rickman and Stowe play their roles to the hilt in this tale of a childrens' book writer who-- maybe?-- has written a subversive tract.  ,1
699,"It's a gloriously fun, fast paced and fairly accurate portrayal of the night of a raver.  ",1
700,It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  ,1
701,"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.  ",0
702,"It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.  ",0
703,The movie seemed a little slow at first.  ,0
704,But it picked up speed and got right to the point.  ,1
705,"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  ",1
706,I enjoyed it.  ,1
707,I have recommended it to friends.  ,1
708,I was particularly pleased with the acting ability of Dwight Schultz.  ,1
709,"Both actors truly understand and become their particular character, delivering a convincing, sincere performance.  ",1
710,"Their on-screen chemistry, critical to the entire film, is genuine.  ",1
711,"The film's dialogue is natural, real to life.  ",1
712,"The writer, Gorman Bechard, undoubtedly did his homework because all references are industry and character-age appropriate.  ",1
713,The incredible soundtrack truly captures the essence of the film.  ,1
714,"Each track commands sentiment, actually contributing to the scenes and characters.  ",1
715,Definitely worth seeing it's the sort of thought provoking film that forces you to question your own threshold of loneliness.  ,1
716,"Hayao Miyazaki's latest and eighth film for Studio Ghibili, ""Gake No Ue No Ponyo"" (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.  ",1
717,"At a time when it seems that film animation has been dominated by Disney/Pixar's CGI masterpieces, it is both refreshing and comforting to know that Miyazaki is still relying on traditional hand-drawn animation to tell his charming and enchanting stories.  ",1
718,Enough can not be said of the remarkable animation in this film.  ,1
719,The art style has the appearance of crayon/pencil drawings and is wonderfully colorful and fanciful.  ,1
720,"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  ",0
721,"This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere.  ",0
722,If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.  ,0
723,"Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost.  ",1
724,"Just consider the excellent story, solid acting and look of the film as added bonuses.  ",1
725,"Instead, we got a bore fest about a whiny, spoiled brat babysitting.  ",0
726,"Then I watched it again two Sundays ago (March 20th, 2005) and I began to really enjoy it and this time I taped the entire thing.  ",1
727,It is a very well acted and done TV Movie.  ,1
728,Judith Light is one of my favorite actresses and I think she does a superb job in this film!  ,1
729,I keep watching it over and over.  ,1
730,"It's a sad movie, but very good.  ",1
731,"If you have not seen this movie, I definitely recommend it!  ",1
732,"She is as lovely as usual, this cutie!  ",1
733,Still it's quite interesting and entertaining to follow.  ,1
734,;) Recommend with confidence!  ,1
735,This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.  ,1
736,It was a riot to see Hugo Weaving play a sex-obsessed gay real estate salesman who uses his clients' houses for his trysts with the flaming Darren (Tom Hollander).  ,1
737,":) Anyway, the plot flowed smoothly and the male-bonding scenes were a hoot.  ",1
738,"The opening sequence of this gem is a classic, and the cat n mouse games that follow are a delight to watch.  ",1
739,Fans of the genre will be in heaven.  ,1
740,Lange had become a great actress.  ,1
741,It looked like a wonderful story.  ,1
742,I never walked out of a movie faster.  ,0
743,I just got bored watching Jessice Lange take her clothes off!  ,0
744,"Unfortunately, any virtue in this film's production work was lost on a regrettable script.  ",0
745,"In a word, it is embarrassing.  ",0
746,Exceptionally bad!  ,0
747,All in all its an insult to one's intelligence and a huge waste of money.  ,0
